# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98821005
# NOM_USUEL= PORT LAGUERRE
# LATITUDE (°) = -22.105
# LONGITUDE(°)= 166.32
# ALTITUDE (m) = 23
# NUM_SERIE= MTX198821005
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 198912 199303 200307 201212
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;30.6;1
196502;29.9;1
196503;27.8;1
196504;27.2;1
196505;25.4;1
196506;23.9;1
196507;22.6;1
196508;22.4;1
196509;24.1;1
196510;25.6;1
196511;28.6;1
196512;29.5;1
196601;29.6;1
196602;30.7;1
196603;28.6;1
196604;27;1
196605;24.7;1
196606;24.1;1
196607;23.2;1
196608;22.9;1
196609;25.2;1
196610;25.5;1
196611;27.4;1
196612;29.2;1
196701;30.1;1
196702;29.4;1
196703;29.7;1
196704;26.6;1
196705;25.6;1
196706;25;1
196707;23.8;1
196708;25.1;1
196709;24.4;1
196710;27.2;1
196711;28.6;1
196712;30.5;1
196801;29.4;1
196802;29.3;1
196803;29.8;1
196804;27.8;1
196805;26.5;1
196806;23.7;1
196807;22.8;1
196808;23.7;1
196809;24.1;1
196810;26.5;1
196811;30;1
196812;29.4;1
196901;29.8;1
196902;28.6;1
196903;27.5;1
196904;27.9;1
196905;26.2;1
196906;23.8;1
196907;23.7;1
196908;23.7;1
196909;24.7;1
196910;26.1;1
196911;29.6;1
196912;31.1;1
197001;32.2;1
197002;29.3;1
197003;30.7;1
197004;27.1;1
197005;25.4;1
197006;24;1
197007;22.8;1
197008;24.6;1
197009;26.1;1
197010;27.6;1
197011;27.5;1
197012;30;1
197101;30;1
197102;30.6;1
197103;28.2;1
197104;26.3;1
197105;25.8;1
197106;23.9;1
197107;22.5;1
197108;25;1
197109;25.3;1
197110;27.7;1
197111;28.6;1
197112;29.4;1
197201;29.9;1
197202;29.2;1
197203;30.5;1
197204;27.5;1
197205;26.2;1
197206;23.3;1
197207;23.5;1
197208;23.4;1
197209;22.8;1
197210;26;1
197211;29.7;1
197212;28.9;1
197301;32.1;1
197302;31.2;1
197303;30.5;1
197304;27.4;1
197305;26.7;1
197306;25.6;1
197307;24;1
197308;24.2;1
197309;25.1;1
197310;28;1
197311;30.5;1
197312;30.1;1
197401;29.2;1
197402;29.5;1
197403;29.7;1
197404;28.5;1
197405;26.4;1
197406;24.2;1
197407;24.4;1
197408;23.5;1
197409;25.1;1
197410;26.1;1
197411;28.4;1
197412;28.5;1
197501;31.2;1
197502;28.4;1
197503;30;1
197504;27.1;1
197505;25.3;1
197506;23.8;1
197507;23.6;1
197508;24.3;1
197509;25.7;1
197510;26.3;1
197511;28.9;1
197512;29.9;1
197601;30.4;1
197602;29.8;1
197603;30.7;1
197604;27.3;1
197605;26.2;1
197606;24.3;1
197607;22.8;1
197608;22.8;1
197609;23.1;1
197610;25.9;1
197611;28.6;1
197612;30.8;1
197701;29.5;1
197702;30;1
197703;29.9;1
197704;27.6;1
197705;26.5;1
197706;24.6;1
197707;23.2;1
197708;23;1
197709;23.7;1
197710;25.8;1
197711;29.4;1
197712;28.9;1
197801;29.9;1
197802;30.4;1
197803;29.7;1
197804;28.5;1
197805;25.7;1
197806;25.1;1
197807;23.5;1
197808;23.5;1
197809;24.6;1
197810;24.6;1
197811;28.3;1
197812;29.4;1
197901;29.3;1
197902;29.1;1
197903;30.1;1
197904;27.2;1
197905;25.5;1
197906;24.3;1
197907;23.4;1
197908;22.8;1
197909;24;1
197910;26.6;1
197911;28.9;1
197912;30.4;1
198001;31.6;1
198002;32;1
198003;28.9;1
198004;26.7;1
198005;26.8;1
198006;24.9;1
198007;23.8;1
198008;23.7;1
198009;24.7;1
198010;27;1
198011;28.5;1
198012;29.7;1
198101;29;1
198102;31;1
198103;30.1;1
198104;28.8;1
