# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98822001
# NOM_USUEL= POINDIMIE
# LATITUDE (°) = -20.933
# LONGITUDE(°)= 165.328
# ALTITUDE (m) = 14
# NUM_SERIE= MTX198822001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196501 201512
# Date(s) de rupture(s) d'homogénéité : 196612 197103 199912
#     Periode homogénéisée  196501 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;28.6;1
196502;28.3;1
196503;27.8;1
196504;27.1;1
196505;25.3;1
196506;24.2;1
196507;22.8;1
196508;23.4;1
196509;23.9;1
196510;25.3;1
196511;27.1;1
196512;27.5;1
196601;28.9;1
196602;29.4;1
196603;29.5;1
196604;27.1;1
196605;26.3;1
196606;25.4;1
196607;24.3;1
196608;23.9;1
196609;24.7;1
196610;25.5;1
196611;26.1;1
196612;27.3;1
196701;27;1
196702;28.8;1
196703;29.1;1
196704;27.9;1
196705;25.5;1
196706;25.1;1
196707;24.3;1
196708;25.1;1
196709;25.1;1
196710;25.6;1
196711;26.6;1
196712;28.2;1
196801;28.2;1
196802;28.6;1
196803;28.7;1
196804;27.9;1
196805;25.9;1
196806;25.3;1
196807;23.9;1
196808;24.5;1
196809;24.2;1
196810;25.7;1
196811;28;1
196812;28;1
196901;28;1
196902;28.7;1
196903;27.7;1
196904;27.4;1
196905;26;1
196906;25.2;1
196907;22.6;1
196908;23.7;1
196909;25;1
196910;24.6;1
196911;26.2;1
196912;28.6;1
197001;29.1;1
197002;28.5;1
197003;28.9;1
197004;28;1
197005;25.9;1
197006;24.9;1
197007;23.8;1
197008;24.3;1
197009;25.3;1
197010;25.4;1
197011;26.5;1
197012;27.4;1
197101;28.8;1
197102;28.9;1
197103;28.6;1
197104;27.2;1
197105;26.8;1
197106;24.9;1
197107;23.7;1
197108;25.1;1
197109;25.8;1
197110;27.9;1
197111;27.5;1
197112;28;1
197201;28.5;1
197202;28.4;1
197203;29;1
197204;27.6;1
197205;25.9;1
197206;24;1
197207;23.9;1
197208;24.4;1
197209;24.2;1
197210;25.2;1
197211;26.6;1
197212;27.3;1
197301;28.7;1
197302;29.4;1
197303;28.9;1
197304;27.4;1
197305;26.4;1
197306;26.3;1
197307;24.3;1
197308;24.6;1
197309;25.4;1
197310;25.6;1
197311;27.7;1
197312;28.7;1
197401;28.9;1
197402;29;1
197403;28.4;1
197404;28;1
197405;25.9;1
197406;24.9;1
197407;24.5;1
197408;24.3;1
197409;25.5;1
197410;25.8;1
197411;27.3;1
197412;28;1
197501;29.2;1
197502;29;1
197503;28.8;1
197504;27.9;1
197505;25.9;1
197506;24;1
197507;24.1;1
197508;24.6;1
197509;25.3;1
197510;26.3;1
197511;27;1
197512;28.4;1
197601;29;1
197602;29.1;1
197603;28.5;1
197604;28.5;1
197605;26.4;1
197606;25.2;1
197607;23.8;1
197608;23.9;1
197609;24;1
197610;25.9;1
197611;27.2;1
197612;28.1;1
197701;29.4;1
197702;28.2;1
197703;28.4;1
197704;27.3;1
197705;26.4;1
197706;25.1;1
197707;23.8;1
197708;24.1;1
197709;24.1;1
197710;25;1
197711;26.2;1
197712;27.9;1
197801;29.1;1
197802;28.9;1
197803;28.5;1
197804;27.9;1
