# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98823001
# NOM_USUEL= PONERIHOUEN
# LATITUDE (°) = -21.072
# LONGITUDE(°)= 165.404
# ALTITUDE (m) = 27
# NUM_SERIE= MTX198823001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 196901 201512
# Date(s) de rupture(s) d'homogénéité : 198312 201208
#     Periode homogénéisée  196901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196901;28.5;1
196902;28.5;1
196903;27.7;1
196904;28.3;1
196905;27.2;1
196906;26.5;1
196907;24.6;1
196908;24.9;1
196909;26.2;1
196910;26.4;1
196911;27.3;1
196912;28.9;1
197001;28.8;1
197002;28.5;1
197003;28.9;1
197004;28.5;1
197005;26.4;1
197006;25.5;1
197007;24.8;1
197008;25.5;1
197009;26.4;1
197010;27.3;1
197011;27.5;1
197012;28.8;1
197101;31;1
197102;30.5;1
197103;30.8;1
197104;28.5;1
197105;27.8;1
197106;27.1;1
197107;25.8;1
197108;26.1;1
197109;27.6;1
197110;28.6;1
197111;28.7;1
197112;28.7;1
197201;28.6;1
197202;28.7;1
197203;29.3;1
197204;27.9;1
197205;26.3;1
197206;24.9;1
197207;25;1
197208;25.7;1
197209;25.6;1
197210;26.9;1
197211;27.8;1
197212;28.1;1
197301;29.4;1
197302;29.9;1
197303;29.6;1
197304;28.4;1
197305;27.3;1
197306;27.3;1
197307;25.6;1
197308;26;1
197309;26.8;1
197310;27.1;1
197311;29;1
197312;29.5;1
197401;29.5;1
197402;29.9;1
197403;29.1;1
197404;28.7;1
197405;26.8;1
197406;25.9;1
197407;25.7;1
197408;25.7;1
197409;26.2;1
197410;26.8;1
197411;28.4;1
197412;28.8;1
197501;29.4;1
197502;29.3;1
197503;29.2;1
197504;28.1;1
197505;26.5;1
197506;25;1
197507;25.5;1
197508;26;1
197509;26.8;1
197510;27.8;1
197511;28.1;1
197512;29.1;1
197601;29.1;1
197602;29.5;1
197603;29;1
197604;28.8;1
197605;26.9;1
197606;26;1
197607;24.8;1
197608;25.1;1
197609;24.9;1
197610;26.9;1
197611;28.3;1
197612;29;1
197701;29.8;1
197702;28.8;1
197703;29.4;1
197704;28.1;1
197705;27.2;1
197706;26.1;1
197707;25.4;1
197708;25.1;1
197709;25.1;1
197710;26.4;1
197711;27.5;1
197712;28.5;1
197801;29.6;1
197802;29.6;1
197803;29;1
197804;28.2;1
197805;26.8;1
197806;26.3;1
197807;25.6;1
197808;24.8;1
197809;25.9;1
197810;26.5;1
197811;27.7;1
197812;28.4;1
197901;28;1
197902;28.7;1
197903;29.6;1
197904;28.2;1
197905;26.3;1
197906;25.6;1
197907;25;1
197908;25.4;1
197909;25.8;1
197910;27.3;1
197911;27.9;1
197912;29;1
198001;29.7;1
198002;30.1;1
198003;29.7;1
198004;28.1;1
198005;26.7;1
198006;25.6;1
198007;25.3;1
198008;25.2;1
198009;25.7;1
198010;27;1
198011;27.8;1
198012;28;1
198101;28.8;1
198102;29.8;1
198103;30;1
198104;28.6;1
198105;27.1;1
198106;26.3;1
198107;25.3;1
198108;26.3;1
198109;25.7;1
198110;26.6;1
198111;27.4;1
198112;29.2;1
198201;29.4;1
198202;29.6;1
198203;29.3;1
198204;27.9;1
198205;26.5;1
198206;24.9;1
198207;24.7;1
198208;24.3;1
198209;25.6;1
198210;26.8;1
198211;27.7;1
198212;28.6;1
198301;29.3;1
198302;28.7;1
198303;29.5;1
198304;29.2;1
198305;27.4;1
198306;26.2;1
198307;25.7;1
198308;26;1
198309;26.8;1
198310;27.2;1
198311;28.4;1
198312;29.2;1
198401;28.7;1
198402;29.2;1
198403;29.7;1
198404;28.4;1
198405;26.5;1
198406;25.8;1
198407;25.7;1
198408;26;1
198409;26.6;1
198410;26.8;1
198411;28.2;1
198412;29.8;1
198501;30.4;1
198502;31;1
198503;29.7;1
198504;29.4;1
198505;26.9;1
198506;25;1
198507;24.8;1
198508;25.5;1
198509;25.3;1
198510;27.4;1
198511;27.6;1
198512;29.1;1
198601;30.6;1
198602;30.1;1
198603;28.9;1
198604;28.2;1
198605;26.5;1
198606;26.2;1
198607;24.9;1
198608;24.1;1
198609;25.9;1
198610;27.3;1
198611;28.1;1
198612;28.6;1
198701;29.1;1
198702;28.8;1
198703;28.5;1
198704;28.2;1
198705;26.9;1
198706;25.9;1
198707;25.1;1
198708;25.7;1
198709;26.4;1
198710;28.1;1
198711;28.1;1
198712;29.1;1
198801;28.9;1
198802;30.4;1
198803;29.3;1
198804;29.5;1
198805;27.8;1
198806;26.9;1
198807;26;1
198808;25.9;1
198809;26.8;1
198810;28.7;1
198811;29;1
198812;28.3;1
198901;29.3;1
198902;29.7;1
198903;29.7;1
198904;27.9;1
198905;26.4;1
198906;26.3;1
198907;25.8;1
198908;25.6;1
198909;27;1
198910;28.1;1
198911;28.4;1
198912;29.1;1
199001;29.9;1
199002;30;1
199003;30;1
199004;28.9;1
199005;27.7;1
199006;26.4;1
199007;26.1;1
199008;27.1;1
199009;26.6;1
199010;27.4;1
199011;28.3;1
199012;28.7;1
199101;29.7;1
199102;30.3;1
199103;29;1
199104;28.5;1
199105;26.4;1
199106;25.8;1
199107;26.6;1
199108;26.8;1
199109;27.3;1
199110;27.3;1
199111;28.5;1
199112;29.3;1
199201;30.1;1
199202;30.1;1
199203;29.4;1
199204;28.5;1
199205;27.2;1
199206;26.1;1
199207;25.1;1
199208;25.9;1
199209;27.9;1
199210;27.1;1
199211;28.2;1
199212;29.9;1
199301;29.4;1
199302;29.4;1
199303;28.7;1
199304;28.4;1
199305;27.3;1
199306;26.4;1
199307;26.2;1
199308;26.1;1
199309;26.2;1
199310;27.1;1
199311;28.7;1
199312;28.9;1
199401;29.4;1
199402;29.2;1
199403;29.5;1
199404;28.2;1
199405;27;1
199406;25.8;1
199407;24.7;1
199408;25;1
199409;25.9;1
199410;27.2;1
199411;28.6;1
199412;28.2;1
199501;29.9;1
199502;30.2;1
199503;30.3;1
199504;29.9;1
199505;28;1
199506;26.7;1
199507;26.6;1
199508;25.4;1
199509;27.1;1
199510;28.3;1
199511;29.8;1
199512;30.4;1
199601;30;1
199602;30.9;1
199603;30.5;1
199604;30;1
199605;27.6;1
199606;26.7;1
199607;25.3;1
199608;25.5;1
199609;27.2;1
199610;27.9;1
199611;28.6;1
199612;30.2;1
199701;29.7;1
199702;30;1
199703;30.9;1
199704;28.9;1
199705;26.7;1
199706;26.2;1
199707;25.5;1
199708;26;1
199709;27.2;1
199710;27.4;1
199711;28.3;1
199712;30.1;1
199801;30;1
199802;29.8;1
199803;30.2;1
199804;29.9;1
199805;28.3;1
199806;27.6;1
199807;27.1;1
199808;26.9;1
199809;27.5;1
199810;29.2;1
199811;29.1;1
199812;30.3;1
199901;31;1
199902;30.3;1
199903;30.8;1
199904;30.2;1
199905;27.6;1
199906;26.7;1
199907;26.1;1
199908;25;1
199909;26.7;1
199910;28;1
199911;28.6;1
199912;28.5;1
200001;30.1;1
200002;29.9;1
200003;30;1
200004;29;1
200005;28.2;1
200006;25.8;1
200007;26.1;1
200008;26;1
200009;27.1;1
200010;27.6;1
200011;28.2;1
200012;29.1;1
200101;29.4;1
200102;30;1
200103;30.6;1
200104;30.2;1
200105;28.2;1
200106;25.9;1
200107;26;1
200108;25.9;1
200109;26.9;1
200110;28.2;1
200111;29.1;1
200112;30.1;1
200201;31;1
200202;30.6;1
200203;30.2;1
200204;28.8;1
200205;27.6;1
200206;27;1
200207;25.7;1
200208;25.6;1
200209;26.7;1
200210;27.5;1
200211;27.7;1
200212;29.5;1
200301;30.4;1
200302;29.9;1
200303;30.3;1
200304;29.1;1
200305;28.1;1
200306;27.2;1
200307;25.8;1
200308;25.8;1
200309;27.3;1
200310;27.6;1
200311;28.1;1
200312;29.4;1
200401;30.1;1
200402;31.5;1
200403;29.5;1
200404;28.2;1
200405;28.1;1
200406;26.1;1
200407;25.8;1
200408;25.4;1
200409;26.5;1
200410;27.7;1
200411;28.3;1
200412;28.7;1
200501;30.1;1
200502;30.7;1
200503;29.3;1
200504;28.2;1
200505;26.7;1
200506;26.1;1
200507;25.6;1
200508;25.3;1
200509;26.7;1
200510;28.1;1
200511;28.9;1
200512;30.2;1
200601;30;1
200602;30;1
200603;29.4;1
200604;30.1;1
200605;27.1;1
200606;25.9;1
200607;25.2;1
200608;25.4;1
200609;25.9;1
200610;26.7;1
200611;28.5;1
200612;28.6;1
200701;29;1
200702;30.3;1
200703;29.9;1
200704;29.4;1
200705;27.8;1
200706;27.3;1
200707;26.7;1
200708;26.2;1
200709;27.7;1
200710;27.7;1
200711;28.5;1
200712;29.7;1
200801;30.5;1
200802;30.6;1
200803;30;1
200804;29.2;1
200805;27.3;1
200806;27;1
200807;26.4;1
200808;26.4;1
200809;27.5;1
200810;27.9;1
200811;28.7;1
200812;30.4;1
200901;30.8;1
200902;30;1
200903;30.1;1
200904;29.2;1
200905;27.1;1
200906;26.3;1
200907;25.5;1
200908;26.6;1
200909;27.1;1
200910;27.5;1
200911;27.6;1
200912;28.5;1
201001;28.6;1
201002;30.6;1
201003;29.6;1
201004;29.5;1
201005;27.5;1
201006;27.7;1
201007;26.6;1
201008;27.9;1
201009;29.8;1
201010;28.7;1
201011;29.3;1
201012;30.3;1
201101;30.6;1
201102;31.1;1
201103;30.6;1
201104;29.2;1
201105;27.8;1
201106;27.7;1
201107;27.2;1
201108;26.3;1
201109;27;1
201110;28.5;1
201111;29.5;1
201112;30;1
201201;30.2;1
201202;30.9;1
201203;30;1
201204;29.6;1
201205;27.6;1
201206;26.7;1
201207;26.2;1
201208;25.7;1
201209;26;1
201210;26.9;1
201211;27.6;1
201212;28.5;1
201301;29.4;1
201302;29.2;1
201303;29.1;1
201304;28.2;1
201305;26.9;1
201306;26.3;1
201307;25.6;1
201308;24.9;1
201309;25.7;1
201310;28;1
201311;28.5;1
201312;29.5;1
201401;30.9;1
201402;30.7;1
201403;31.4;1
201404;30.3;1
201405;28.4;1
201406;27.2;1
201407;26.1;1
201408;26;1
201409;26.8;1
201410;27.2;1
201411;28.5;1
201412;28.3;1
201501;28.6;1
201502;29.5;1
201503;29.6;1
201504;27.9;1
201505;26.3;1
201506;25.2;1
201507;25.7;1
201508;26.7;1
201509;27.2;1
201510;28.7;1
201511;28.7;1
201512;31;1
201601;32.6;0
201602;33.6;0
201603;31.3;0
201604;30.9;0
201605;29.5;0
201606;27.7;0
201607;27.6;0
201608;27;0
201609;28.3;0
201610;28.5;0
201611;28.6;0
201612;31;0
201701;31.5;0
201702;32.3;0
201703;31.7;0
201704;31;0
201705;29.1;0
201706;27.4;0
201707;26.4;0
201708;27.5;0
201709;28;0
201710;29.3;0
201711;29.9;0
201712;31;0
201801;31;0
201802;33.1;0
201803;31.4;0
201804;31.3;0
201805;28.7;0
201806;26.9;0
201807;27;0
201808;26.1;0
201809;27.4;0
201810;29;0
201811;30.4;0
201812;30.6;0
201901;32.6;0
201902;32.2;0
201903;32.4;0
201904;30.4;0
201905;28.7;0
201906;26.9;0
201907;27.1;0
201908;26.9;0
201909;27.8;0
201910;28.9;0
201911;30.6;0
201912;31.3;0
202001;31.8;0
202002;32.3;0
202003;32;0
202004;30.9;0
202005;28.1;0
202006;27.5;0
202007;26.4;0
202008;26.8;0
202009;26.6;0
202010;28.8;0
202011;29.4;0
202012;30.4;0
202101;30.8;0
202102;31.2;0
202103;30.2;0
202104;28.6;0
202105;27.7;0
202106;26.9;0
202107;26.3;0
202108;26.1;0
202109;27.6;0
202110;27.8;0
202111;30;0
202112;30.8;0
202201;31.8;0
202202;31.7;0
202203;31.8;0
202204;30;0
202205;28.4;0
202206;26.6;0
202207;26.7;0
202208;26.9;0
202209;28;0
202210;28.8;0
202211;30.7;0
202212;30.9;0
