# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 98832002
# NOM_USUEL= YATE MRIE
# LATITUDE (°) = -22.157
# LONGITUDE(°)= 166.939
# ALTITUDE (m) = 25
# NUM_SERIE= MTX198832002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196801 201512
# Date(s) de rupture(s) d'homogénéité : 197012 198908 199712 200712 201103
#     Periode homogénéisée  196801 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196801;28.5;1
196802;28.8;1
196803;28.4;1
196804;27.8;1
196805;25.9;1
196806;24.5;1
196807;23;1
196808;23.2;1
196809;23.2;1
196810;24.8;1
196811;27.8;1
196812;27.3;1
196901;27.8;1
196902;28.1;1
196903;26.5;1
196904;26.2;1
196905;24.8;1
196906;23.7;1
196907;21.9;1
196908;22.9;1
196909;24.6;1
196910;24.5;1
196911;26.2;1
196912;28.8;1
197001;28.9;1
197002;28.1;1
197003;28.6;1
197004;26.7;1
197005;24.9;1
197006;24.3;1
197007;23.1;1
197008;24.3;1
197009;25.7;1
197010;26.1;1
197011;27.5;1
197012;28.2;1
197101;28.7;1
197102;28.8;1
197103;28.1;1
197104;26.2;1
197105;25.7;1
197106;24.1;1
197107;22.7;1
197108;24.2;1
197109;25.2;1
197110;27.2;1
197111;27.9;1
197112;27.4;1
197201;28.2;1
197202;28.6;1
197203;29;1
197204;26.9;1
197205;24.8;1
197206;23.3;1
197207;23.2;1
197208;23.2;1
197209;23;1
197210;25.4;1
197211;27;1
197212;28;1
197301;29.5;1
197302;29.1;1
197303;28.4;1
197304;26.8;1
197305;25.8;1
197306;25.6;1
197307;23.5;1
197308;24.1;1
197309;24.8;1
197310;25.4;1
197311;27.8;1
197312;28.9;1
197401;28.7;1
197402;29.7;1
197403;28.5;1
197404;27.9;1
197405;25.5;1
197406;24.8;1
197407;24.1;1
197408;24.1;1
197409;25;1
197410;25.3;1
197411;27.4;1
197412;28.3;1
197501;29;1
197502;28.5;1
197503;28.7;1
197504;27;1
197505;25.1;1
197506;23.9;1
197507;23.3;1
197508;23.8;1
197509;25.1;1
197510;26;1
197511;26.9;1
197512;27.8;1
197601;28.8;1
197602;28.7;1
197603;29;1
197604;27.6;1
197605;25;1
197606;23.8;1
197607;22.4;1
197608;23.2;1
197609;23.4;1
197610;25.6;1
197611;27.5;1
197612;28.5;1
197701;28.1;1
197702;28.4;1
197703;27.8;1
197704;26.7;1
197705;25.5;1
197706;24.3;1
197707;22.8;1
197708;23.2;1
197709;23.6;1
197710;25.1;1
197711;26;1
197712;27.8;1
197801;28.9;1
197802;29.6;1
197803;28.2;1
197804;27.9;1
197805;25.2;1
197806;25;1
197807;24;1
