# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97208001
# NOM_USUEL= FOND-DENIS-CADET
# LATITUDE (°) = 14.735
# LONGITUDE(°)= -61.145
# ALTITUDE (m) = 493
# NUM_SERIE= MTX297208001
# Amplitude minimale détectable de la série = 0.3
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : 198712
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;23.1;1
196502;23.2;1
196503;25.2;1
196504;26.7;1
196505;27.5;1
196506;26.1;1
196507;25.8;1
196508;26.4;1
196509;26.5;1
196510;26.4;1
196511;26.7;1
196512;25.4;1
196601;26.2;1
196602;24.3;1
196603;25.3;1
196604;25.7;1
196605;25.2;1
196606;25.2;1
196607;25.7;1
196608;25.9;1
196609;26.1;1
196610;26.1;1
196611;25.9;1
196612;24.3;1
196701;22.8;1
196702;23.6;1
196703;23.7;1
196704;25.1;1
196705;25.4;1
196706;26.4;1
196707;25.3;1
196708;26.4;1
196709;26.1;1
196710;27.1;1
196711;26.1;1
196712;24.7;1
196801;24;1
196802;25.1;1
196803;24.7;1
196804;25.3;1
196805;26.3;1
196806;25.9;1
196807;26.2;1
196808;26.7;1
196809;27;1
196810;25.9;1
196811;26.2;1
196812;25.6;1
196901;23.8;1
196902;25.9;1
196903;26.3;1
196904;27.2;1
196905;28;1
196906;26.9;1
196907;26.6;1
196908;26.5;1
196909;27.1;1
196910;27;1
196911;26.1;1
196912;25.3;1
197001;24.3;1
197002;23.8;1
197003;24.2;1
197004;26.1;1
197005;27.5;1
197006;25;1
197007;25;1
197008;25.9;1
197009;26.6;1
197010;26.1;1
197011;26;1
197012;24.2;1
197101;23.7;1
197102;23.1;1
197103;24.1;1
197104;25.1;1
197105;25.7;1
197106;26.1;1
197107;25.6;1
197108;26;1
197109;26.7;1
197110;26.4;1
197111;26.2;1
197112;23.7;1
197201;22.7;1
197202;23.3;1
197203;25.1;1
197204;24.9;1
197205;25.4;1
197206;26;1
197207;25.4;1
197208;25.9;1
197209;26.9;1
197210;27.4;1
197211;25.9;1
197212;24.7;1
197301;25;1
197302;25.4;1
197303;25.9;1
197304;25.7;1
197305;27.2;1
197306;26.5;1
197307;26.8;1
197308;26.8;1
197309;26.7;1
197310;26.3;1
197311;24.8;1
197312;23.4;1
197401;22.3;1
197402;23.8;1
197403;23.5;1
197404;23.8;1
197405;25.5;1
197406;25.5;1
197407;26.6;1
197408;26.3;1
197409;26.5;1
197410;26.7;1
197411;26.4;1
197412;24.8;1
197501;23;1
197502;23.5;1
197503;24.9;1
197504;25.2;1
197505;26.4;1
197506;27.4;1
197507;26.8;1
197508;26.7;1
197509;27.6;1
197510;26.3;1
197511;26;1
197512;23.1;1
197601;23.3;1
197602;22.5;1
197603;22.9;1
197604;26.1;1
197605;25.3;1
197606;25.9;1
197607;26.3;1
197608;27.4;1
197609;27.3;1
197610;27.8;1
197611;26.4;1
197612;24.4;1
197701;25.5;1
197702;25.1;1
197703;26;1
197704;26.1;1
197705;27.1;1
197706;26.8;1
197707;26.7;1
197708;26.7;1
197709;26.7;1
197710;26.4;1
197711;27;1
197712;24.6;1
197801;24.2;1
197802;25.4;1
197803;25.4;1
197804;27.3;1
197805;26.6;1
197806;25.8;1
197807;25.6;1
197808;26.1;1
197809;27.6;1
197810;26.8;1
197811;25.3;1
197812;24.7;1
197901;24.4;1
197902;25.6;1
197903;24.9;1
197904;25.6;1
197905;26.9;1
197906;25.7;1
197907;25.4;1
197908;25.9;1
197909;26.7;1
197910;27.4;1
197911;26.3;1
197912;25;1
198001;24.8;1
198002;24.6;1
198003;24.7;1
198004;26.7;1
198005;28.2;1
198006;27;1
198007;25.7;1
198008;26.6;1
198009;27.1;1
198010;27.2;1
198011;25.3;1
198012;24.8;1
198101;25.6;1
198102;24.3;1
198103;26.7;1
198104;25;1
198105;26.2;1
198106;25.7;1
198107;25.8;1
198108;26;1
198109;27;1
198110;27.3;1
198111;26.6;1
198112;25.6;1
198201;23.3;1
198202;23.7;1
198203;23.4;1
198204;25.2;1
198205;26.1;1
198206;25.6;1
198207;25.2;1
198208;25.8;1
198209;26.4;1
198210;26.4;1
198211;25.6;1
198212;24.3;1
198301;24.3;1
198302;24.9;1
198303;25.8;1
198304;27.1;1
198305;26.8;1
198306;26.3;1
198307;25.4;1
198308;25.9;1
198309;25.6;1
198310;26.9;1
198311;26;1
198312;25.2;1
198401;23.6;1
198402;24.2;1
198403;25;1
198404;26.2;1
198405;25.3;1
198406;25.6;1
198407;24.7;1
198408;25.7;1
198409;26.5;1
198410;26.7;1
198411;25.2;1
198412;23.7;1
198501;23.2;1
198502;23.1;1
198503;23.7;1
198504;25.2;1
198505;25.5;1
198506;26.8;1
198507;25.7;1
198508;26.4;1
198509;26.4;1
198510;25.9;1
198511;24.7;1
198512;23.3;1
198601;22.8;1
198602;23.9;1
198603;23.8;1
198604;26.1;1
198605;25.9;1
198606;25.1;1
198607;25.6;1
198608;25.6;1
198609;25.6;1
198610;26.6;1
198611;24.9;1
198612;24.3;1
198701;24.7;1
198702;25.6;1
198703;26.5;1
198704;29.1;1
198705;27.7;1
198706;26.4;1
198707;25.8;1
198708;26.7;1
198709;27;1
198710;27.1;1
198711;26.1;1
198712;25.5;1
198801;24.4;1
198802;24;1
198803;25.3;1
198804;27.4;1
198805;27.7;1
198806;27.3;1
198807;26.8;1
198808;26.4;1
198809;27;1
198810;27;1
198811;25.9;1
198812;23.9;1
198901;23.5;1
198902;23.1;1
198903;24.2;1
198904;24.7;1
198905;26.1;1
198906;25.9;1
198907;26.3;1
198908;27.2;1
198909;27.2;1
198910;28.2;1
198911;25.8;1
198912;25;1
199001;23;1
199002;23.5;1
199003;24.1;1
199004;25.8;1
199005;25.7;1
199006;25.7;1
199007;26.2;1
199008;26.6;1
199009;27.6;1
199010;27.6;1
199011;26.5;1
199012;24.4;1
199101;23.2;1
199102;24.9;1
199103;25.5;1
199104;25.5;1
199105;26.3;1
199106;26.7;1
199107;26.1;1
199108;27.1;1
199109;27.4;1
199110;27.7;1
199111;24.5;1
199112;23.5;1
199201;24.7;1
199202;24.6;1
199203;26.1;1
199204;27.4;1
199205;26.9;1
199206;25.8;1
199207;25.6;1
199208;26.6;1
199209;26.5;1
199210;27.8;1
199211;25.8;1
199212;25.1;1
199301;23.6;1
199302;25;1
199303;24.9;1
199304;27.1;1
199305;27.6;1
199306;26.4;1
199307;25.7;1
199308;26.8;1
199309;27.2;1
199310;27.3;1
199311;25.6;1
199312;25.7;1
199401;23.7;1
199402;23.9;1
199403;25.5;1
199404;26;1
199405;26.9;1
199406;26;1
199407;25.9;1
199408;26.6;1
199409;26.5;1
199410;28.1;1
199411;27.6;1
199412;26.2;1
199501;26;1
199502;26;1
199503;26.4;1
199504;26.6;1
199505;29.3;1
199506;27.3;1
199507;27.4;1
199508;27.5;1
199509;28.5;1
199510;28.5;1
199511;26.9;1
199512;26.3;1
199601;24.9;1
199602;24.8;1
199603;25;1
199604;26;1
199605;26.1;1
199606;25.9;1
199607;25.9;1
199608;26.5;1
199609;27.2;1
199610;27;1
199611;26;1
199612;25.3;1
199701;24.1;1
199702;23.4;1
199703;24.3;1
199704;26.3;1
