# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97209004
# NOM_USUEL= FORT-DE-FRANCE DESAIX
# LATITUDE (°) = 14.618
# LONGITUDE(°)= -61.064
# ALTITUDE (m) = 143
# NUM_SERIE= MTX297209004
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : 198412 198912 200612
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;26.5;1
196502;26.7;1
196503;27.9;1
196504;28.5;1
196505;28.8;1
196506;28.2;1
196507;28.2;1
196508;28.6;1
196509;29;1
196510;28.7;1
196511;28.7;1
196512;28;1
196601;28.1;1
196602;26.8;1
196603;27.4;1
196604;28.1;1
196605;27.6;1
196606;27.9;1
196607;28.2;1
196608;28.6;1
196609;28.9;1
196610;28.6;1
196611;28.6;1
196612;27.8;1
196701;26.7;1
196702;26.8;1
196703;26.7;1
196704;27.3;1
196705;27.7;1
196706;28.8;1
196707;28.3;1
196708;28.4;1
196709;28.2;1
196710;28.9;1
196711;28;1
196712;27.2;1
196801;26.7;1
196802;27.9;1
196803;28;1
196804;28.1;1
196805;28.6;1
196806;28.3;1
196807;28.8;1
196808;28.9;1
196809;29.2;1
196810;29.1;1
196811;28.5;1
196812;27.4;1
196901;26.7;1
196902;27.8;1
196903;29.8;1
196904;30.2;1
196905;30.3;1
196906;29.4;1
196907;28.9;1
196908;29.1;1
196909;29.6;1
196910;29.3;1
196911;29;1
196912;27.7;1
197001;27.8;1
197002;27.8;1
197003;28;1
197004;29.3;1
197005;29.8;1
197006;28.6;1
197007;28.1;1
197008;28.7;1
197009;29.2;1
197010;28.9;1
197011;28.7;1
197012;27.4;1
197101;27.3;1
197102;26.7;1
197103;27.5;1
197104;28.2;1
197105;28.3;1
197106;28.8;1
197107;28.8;1
197108;28.6;1
197109;28.9;1
197110;28.9;1
197111;28.7;1
197112;27.2;1
197201;26.4;1
197202;26.4;1
197203;27.6;1
197204;27.8;1
197205;28.2;1
197206;29.1;1
197207;28.4;1
197208;28.7;1
197209;29.1;1
197210;29.2;1
197211;28.6;1
197212;27.6;1
197301;27.6;1
197302;28;1
197303;28.5;1
197304;28.9;1
197305;29.2;1
197306;29.1;1
197307;29.6;1
197308;29.6;1
197309;29.5;1
197310;28.9;1
197311;28.5;1
197312;27.9;1
197401;26.7;1
197402;27;1
197403;26.7;1
197404;27;1
197405;28.1;1
197406;28.5;1
197407;28.9;1
197408;29.5;1
197409;29.2;1
197410;28.5;1
197411;28.4;1
197412;27.3;1
197501;26.6;1
197502;26.4;1
197503;27.3;1
197504;28;1
197505;28.9;1
197506;29.6;1
197507;30;1
197508;29.3;1
197509;29.4;1
197510;28.3;1
197511;27.3;1
197512;26.1;1
197601;25.8;1
197602;25.7;1
197603;25.8;1
197604;28.2;1
197605;28.5;1
197606;28.7;1
197607;28.5;1
197608;29;1
197609;29.4;1
197610;29.8;1
197611;28.4;1
197612;26.8;1
197701;27.3;1
197702;27.5;1
197703;28.5;1
197704;28.1;1
197705;28.4;1
197706;29.2;1
197707;28.9;1
197708;28.9;1
197709;28.8;1
197710;28.2;1
197711;28.5;1
197712;27.2;1
197801;26.9;1
197802;28;1
197803;27.8;1
197804;28.9;1
197805;29.3;1
197806;28.6;1
197807;28.4;1
197808;28.5;1
197809;29.7;1
197810;28.9;1
197811;28.1;1
197812;27.3;1
197901;27.7;1
197902;28.2;1
