# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 97213004
# NOM_USUEL= LAMENTIN-AERO
# LATITUDE (°) = 14.595
# LONGITUDE(°)= -60.996
# ALTITUDE (m) = 3
# NUM_SERIE= MTX297213004
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196501 202112
# Date(s) de rupture(s) d'homogénéité : 198112 199407
#     Periode homogénéisée  196501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;27.7;1
196502;27.6;1
196503;28.6;1
196504;28.9;1
196505;29.7;1
196506;29.4;1
196507;29.4;1
196508;29.9;1
196509;30;1
196510;29.8;1
196511;29.9;1
196512;29;1
196601;29.1;1
196602;28.2;1
196603;28.8;1
196604;29.3;1
196605;29.2;1
196606;29.5;1
196607;29.7;1
196608;30.1;1
196609;30;1
196610;29.8;1
196611;29.5;1
196612;28.8;1
196701;28;1
196702;27.8;1
196703;27.8;1
196704;28.5;1
196705;29.1;1
196706;29.9;1
196707;29.6;1
196708;29.8;1
196709;29.1;1
196710;29.8;1
196711;29.3;1
196712;28.4;1
196801;27.5;1
196802;28.3;1
196803;28.7;1
196804;29.5;1
196805;29.8;1
196806;30;1
196807;30.6;1
196808;30.6;1
196809;30.6;1
196810;30.6;1
196811;30.1;1
196812;29.2;1
196901;28.4;1
196902;29;1
196903;30.6;1
196904;31.3;1
196905;31.6;1
196906;31;1
196907;30.5;1
196908;31.1;1
196909;31;1
196910;30.8;1
196911;30.5;1
196912;29.5;1
197001;29.5;1
197002;29;1
197003;29.3;1
197004;30.6;1
197005;31.3;1
197006;30.2;1
197007;29.8;1
197008;30.6;1
197009;30.6;1
197010;30.3;1
197011;30.1;1
197012;29.1;1
197101;28.8;1
197102;28.4;1
197103;28.9;1
197104;29.2;1
197105;29.8;1
197106;30.2;1
